ID;Bird;Cage;Date of Transfer;Who
651;o16o-y8;U1;06.10.2006;Georg
652;o17o-y8;U1;06.10.2006;Georg
653;;U1;10.10.2006;
654;o19o-y13k;U1;06.10.2006;Georg
655;o1o-b3k;U1;06.10.2006;Georg
656;o2o-g14k;U1;06.10.2006;Georg
657;o3o-g14k;U1;06.10.2006;Georg
658;o4o-r14;U1;06.10.2006;Georg
659;o8o-s3k;U1;06.10.2006;Georg
660;p7o-y13k;U1;06.10.2006;Georg
661;r20o-o4k;U1;06.10.2006;Georg
662;r8o-s2;U1;06.10.2006;Georg
663;r9o-s2;U1;06.10.2006;Georg
664;s10k-sb;U1;06.10.2006;Georg
665;s13k-y6;U1;06.10.2006;Georg
666;s5o-r16;U1;06.10.2006;Georg
667;s6o-r16;U1;06.10.2006;Georg
668;y10o-r11;U1;06.10.2006;Georg
669;y11o-r11;U1;06.10.2006;Georg
670;y13o-r11;U1;06.10.2006;Georg
671;y15o-p11k;U1;06.10.2006;Georg
672;y16o-p11k;U1;06.10.2006;Georg
673;y3o-p11k;U1;06.10.2006;Georg
674;s16o;EXT;06.10.2006;Georg
675;s15o;EXT;06.10.2006;Georg
677;s19o;EXT;06.10.2006;Georg
678;s18o;EXT;06.10.2006;Georg
679;s17o;EXT;06.10.2006;Georg
680;o9o-s3k;U1;06.10.2006;Georg
681;g10o-g14k;E2;11.10.2006;Katja
682;g17o-r14;MK;29.09.2006;Katja
683;g17o-r14;E2;11.10.2006;Katja
684;s3k-y8;MK;11.10.2006;Florian
685;g10o-g14k;IS2;13.10.2006;Katja
686;g14o-g14k;E2;13.10.2006;Katja
687;p17k-y6;M1;13.10.2006;Florian
688;s14k-r16;M1;13.10.2006;Florian
689;b18o-silver2;M4;13.10.2006;Florian
690;g19o-silver2;M4;13.10.2006;Florian
691;p17o-silver2;M4;13.10.2006;Florian
692;o10o-r12k;O5;13.10.2006;Florian
693;o11o-r12k;O5;13.10.2006;Florian
694;o12o-r12k;O5;13.10.2006;Florian
695;s8k-p11k;U1;17.10.2006;Florian
696;s17o;M5;17.10.2006;Florian
697;g3o-r11;IS7;16.10.2006;Katja
698;g3o-r11;TRC;18.10.2006;Katja
699;g3o-r11;TRC;18.10.2006;Katja
700;g6o-r12k;M1;19.10.2006;Katja
701;s10o-sb;M1;19.10.2006;Katja
702;b19k-r11;M1;19.10.2006;Katja
703;p17k-y6;IS1;19.10.2006;Aymeric
704;s14k-r16;IS1;19.10.2006;Aymeric
707;g6o-r12k;IS6;20.10.2006;Katja
708;g6o-r12k;TRC;23.10.2006;Katja
709;b19k-r11;IS8;30.10.2006;Isabelle
710;yellow14;M5;30.10.2006;Georg
711;green16;M5;30.10.2006;Georg
712;s19o;M5;30.10.2006;Georg
